fra	eng	Difficulty	example.llama_src	example.llama_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment	Example quality	Comment	4.64
croissant	crescent	medium	Le croissant est un symbole de la République française et apparaît sur le drapeau national.	The crescent is a symbol of the French Republic and appears on the national flag.	No	Somewhat	Yes	Yes	2: Pretty bad		3 Average	Not informative	3
session	session	easy	La session de formation a duré trois heures et a couvert tous les aspects de la nouvelle politique de l'entreprise.	The training session lasted three hours and covered all aspects of the company's new policy.	Yes	Yes	Yes	Yes	5 Very good		4 Good		4
fric	cash	medium	J'ai besoin de fric pour payer mon loyer ce mois-ci.	I need cash to pay my rent this month.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
surnom	nickname	medium	Son surnom était "Le Tigre" en raison de son style de jeu agressif sur le terrain de football.	His nickname was "The Tiger" due to his aggressive playing style on the soccer field.	Yes	Yes	Yes	Somewhat	4 Good		5 Very good		5
géographie	geography	easy	J'ai étudié la géographie en classe pour comprendre les différentes régions du monde.	I studied geography in class to understand the different regions of the world.	Yes	Yes	Yes	Somewhat	4 Good		3 Average	Translationese	3
pair	peer	medium	Elle a été élue pair à vie par le président de la République en reconnaissance de ses contributions exceptionnelles à la littérature française.	She was appointed a life peer by the President of the Republic in recognition of her outstanding contributions to French literature.	Somewhat	Somewhat	Somewhat	Yes	3 Average		3 Average	Intelligible	3
pisse	piss	easy	Après avoir bu trop de bière, il a dû aller pisser derrière le bar.	After drinking too much beer, he had to go piss behind the bar.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
vigoureux	vigorous	medium	Le jardinier a planté un rosier vigoureux qui a rapidement grandi et fleuri.	The gardener planted a vigorous rose bush that quickly grew and bloomed.	Somewhat	Somewhat	Yes	Somewhat	3 Average	Not the right context for this usage.	4 Good	Translationese	4
canyon	canyon	medium	Le Grand Canyon du Colorado est l'un des plus célèbres canyons du monde.	The Grand Canyon of Colorado is one of the most famous canyons in the world.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
éraflure	scratch	medium	J'ai fait une éraflure sur la voiture en me garant trop près du mur.	I scratched the car when I parked too close to the wall.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
privilège	privilege	medium	Le fait d'avoir un passeport valide est un privilège qui facilite les voyages internationaux.	Having a valid passport is a privilege that facilitates international travel.	Somewhat	Somewhat	Yes	Somewhat	4 Good		4 Good		4
rade	harbor	hard	Le navire est entré dans la rade pour se mettre à l'abri de la tempête.	The ship entered the harbor to take shelter from the storm.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
voyou	thug	medium	Le voyou a été arrêté par la police après avoir commis un vol à main armée.	The thug was arrested by the police after committing an armed robbery.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
exaucer	grant	hard	Après avoir examiné la demande, le comité a décidé d'exaucer le souhait de la communauté en finançant le projet.	After reviewing the application, the committee decided to grant the community's wish by funding the project.	Somewhat	Yes	Yes	Somewhat	4 Good		4 Good	Too long	4
draguer	flirt	medium	Il a passé la soirée à draguer les filles au bar, mais aucune ne semblait intéressée.	He spent the evening flirting with the girls at the bar, but none of them seemed interested.	Yes	Yes	Yes	Somewhat	4 Good		5 Very good		5
avaler	swallow	medium	Il a avalé son médicament avec un grand verre d'eau.	He swallowed his medication with a large glass of water.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
grippe	flu	medium	J'ai attrapé la grippe pendant les vacances et j'ai dû passer une semaine au lit.	I caught the flu during the holidays and had to spend a week in bed.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
saucisson	sausage	medium	J'ai acheté un saucisson sec pour accompagner le fromage et le pain.	I bought a dry sausage to go with the cheese and bread.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
progéniture	offspring	hard	Les parents sont fiers de leur progéniture qui a obtenu d'excellents résultats scolaires.	The parents are proud of their offspring who have achieved excellent academic results.	Somewhat	Yes	Yes	Yes	4 Good		5 Very good		5
meuble	furniture	medium	J'ai acheté un nouveau meuble pour mon salon.	I bought a new piece of furniture for my living room.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
sirop	syrup	medium	J'ajoute un peu de sirop d'érable dans mon café pour le sucrer.	I add a little maple syrup to my coffee to sweeten it.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
fortune	fortune	easy	Il a fait fortune dans l'immobilier après avoir investi dans plusieurs propriétés lucratives.	He made a fortune in real estate after investing in several lucrative properties.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
bus	bus	easy	Je prends le bus pour aller au travail tous les matins.	I take the bus to go to work every morning.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
collaboration	collaboration	easy	La collaboration entre les chercheurs de différents pays a permis de faire des découvertes importantes dans le domaine de la médecine.	The collaboration between researchers from different countries led to significant discoveries in the field of medicine.	Yes	Yes	Somewhat	Yes	4 Good		4 Good	Translationese	4
trotter	trot	medium	Le cheval a commencé à trotter doucement autour du champ.	The horse began to trot gently around the field.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
expansion	expansion	medium	La société a annoncé une expansion de ses activités en Asie pour le prochain trimestre.	The company announced an expansion of its operations in Asia for the next quarter.	Yes	Yes	Yes	Yes	5 Very good		4 Good	Translationese	4
échange	exchange	medium	J'ai participé à un programme d'échange étudiant pour passer un semestre à l'étranger.	I participated in a student exchange program to spend a semester abroad.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
bêtement	stupidly	medium	Il a agi bêtement en oubliant son téléphone à la maison.	He acted stupidly by forgetting his phone at home.	Yes	Yes	Yes	Somewhat	4 Good		4 Good		4
crevé	exhausted	hard	Après avoir couru le marathon, j'étais complètement crevé et j'ai dû m'asseoir pour me reposer.	After running the marathon, I was completely exhausted and had to sit down to rest.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
obligatoire	mandatory	medium	Le port de la ceinture de sécurité est obligatoire pour tous les passagers dans une voiture.	Wearing a seatbelt is mandatory for all passengers in a car.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
symptôme	symptom	easy	La fièvre est un symptôme courant de la grippe.	Fever is a common symptom of the flu.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
restriction	restriction	medium	Le gouvernement a imposé des restrictions sur les voyages internationaux pour ralentir la propagation de la maladie.	The government imposed restrictions on international travel to slow the spread of the disease.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
flocon	flake	hard	La neige est tombée doucement sous forme de flocons délicats qui ont recouvert le paysage d'un manteau blanc.	The snow fell gently in delicate flakes that covered the landscape with a white blanket.	Yes	Yes	Somewhat	Yes	4 Good		4 Good	Intelligible	4
épeler	spell	medium	Pour m'aider à mémoriser le mot, je vais l'épeler plusieurs fois.	To help me memorize the word, I'll spell it out several times.	Yes	Yes	Yes	Somewhat	4 Good		5 Very good		5
figurine	figurine	medium	La petite fille a reçu une figurine de son personnage de dessin animé préféré pour son anniversaire.	The little girl received a figurine of her favorite cartoon character for her birthday.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
media	media	easy	Les médias sociaux ont joué un rôle important dans la diffusion de l'information pendant la crise.	Social media played a crucial role in disseminating information during the crisis.	Yes	Yes	Somewhat	Yes	5 Very good		5 Very good		5
justement	precisely	medium	J'ai demandé à mon ami de m'attendre à 17 heures précises et il est arrivé justement à l'heure.	I asked my friend to meet me at 5 o'clock sharp and he arrived precisely on time.	Yes	Yes	Yes	Somewhat	5 Very good		3 Average	Translationese	3
stimulant	stimulant	medium	Le café est un stimulant qui m'aide à rester éveillé pendant les longues nuits d'étude.	Coffee is a stimulant that helps me stay awake during long study nights.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
tomber	fall	medium	Le livre est tombé de l'étagère et s'est ouvert à la page 10.	The book fell off the shelf and opened to page 10.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
cauchemar	nightmare	medium	J'ai fait un cauchemar cette nuit et je me suis réveillé en sueur.	I had a nightmare last night and woke up in a sweat.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
chiche	dare	hard	Je l'ai défié, mais il n'a pas osé le faire, il n'est pas très chiche.	I dared him, but he didn't do it, he's not very daring.	Yes	Yes	Yes	Yes	5 Very good		4 Good		4
on	we	easy	Nous allons au parc, et on emmène un pique-nique.	We're going to the park, and we're bringing a picnic.	Yes	Yes	Yes	Somewhat	4 Good		4 Good	Grammar in French	4
zombie	zombie	easy	Le film d'horreur mettait en scène une armée de zombies qui envahissaient la ville.	The horror movie featured an army of zombies invading the city.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
frisson	shiver	hard	Je ressens un frisson chaque fois que j'écoute ma chanson préférée.	I get a shiver every time I listen to my favorite song.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
prolonger	extend	medium	La compagnie a décidé de prolonger la période de garantie pour les nouveaux produits.	The company decided to extend the warranty period for new products.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
patient	patient	medium	Le médecin a demandé au patient de prendre un médicament pour soulager la douleur.	The doctor asked the patient to take medication to relieve the pain.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
assommer	knock	hard	Le boxeur a réussi à assommer son adversaire avec un seul coup de poing.	The boxer managed to knock his opponent out with a single punch.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
hamac	hammock	medium	J'ai passé l'après-midi à me reposer dans un hamac sous les palmiers.	I spent the afternoon resting in a hammock under the palm trees.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
ver	worm	medium	Le jardinier a trouvé un ver dans le sol de son jardin.	The gardener found a worm in the soil of his garden.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
passionnant	exciting	medium	Le nouveau film d'aventure est passionnant et plein d'action.	The new adventure movie is exciting and full of action.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
													
									4.64				
