tdt	eng	example.llama_src	example.llama_tgt
linguajen	language	Portuges mak linguajen ofisial iha Timor-Leste.	Portuguese is an official language in East Timor.
veteranu	veteran	Ami respeita veteranu sira ne'ebé servisu iha forsa armada durante funu.	I respect the veterans who served in the armed forces during the war.
bomba	bomb	Militar sira uza bomba hodi ataka inimigu sira.	The military used bombs to attack the enemy.
tradutór	translator	Ita bele uza tradutór atu ajudá ita tradús dokumentu importante.	You can use a translator to help you translate important documents.
profesionalismu	professional	Ita tenki hatudu profesionalismu iha serbisu nian.	We must show professionalism in our work.
assosiasaun	association	Ami hakarak partisipa iha assosiasaun ida ne'ebé sei ajuda komunidade.	I want to participate in an association that will help the community.
examplu	exemple	Ha'u uza exemplu ida ne'e atu esplika konseitu ne'e.	I use this example to explain the concept.
HIV-SIDA	HIV-AIDS	Governu tenki kria kampanha edukasaun ba komunidade sira kona-ba HIV-SIDA.	The government needs to create an education campaign for communities about HIV-AIDS.
duut	grass	Ami la'ó iha duut no sente fresku.	I walked on the grass and felt refreshed.
másimu	maximum	Kapasidade másimu ba pasajeiru iha ôtobus ne'e mak 50.	The maximum capacity for passengers on this bus is 50.
aniversáriu	anniversary	Ami sei halo festa ba aniversáriu husi ami nia inan.	I will throw a party for my mother's anniversary.
inísiu	beginning, start	Projetu ida ne'e sei hahu iha inísiu fulan Janeiru.	This project will start at the beginning of January.
formasaun	training	Ha'u hetan formasaun ida iha área saúde no desidu atu serbisu iha ospitál.	I received training in the health sector and decided to work in a hospital.
matadalan	guide	Ami uza matadalan ne'e atu ba Dili ha'u.	I used this guide to get to Dili.
kompetisaun	competition	Klube futebol nian kompetisaun iha Dili sei hahu iha fulan Maiu.	The football club competition in Dili will start in May.
Fijianu	Fijian	Ami ko'alia ho ema Fijianu iha Dili.	I spoke with a Fijian person in Dili.
marítima	maritime	Kompanha marítima ida iha Timor-Leste fornese servisu transportasaun ba iha tasi.	A maritime company in Timor-Leste provides transportation services across the sea.
bola	ball	Labarik sira halo joga bola iha kampo.	The children are playing ball in the field.
sékulu	century	Sékulu XXI nu'udar sékulu ida ne'ebé teknologia dezenvolve rapidamente.	The 21st century is a century in which technology is developing rapidly.
sai	exit, leave	Ha'u sai husi uma iha tuku 7.	I leave the house at 7 o'clock.
estudante	student	Estudante sira iha eskola sekundária aprende matemátika no portugés.	Students in high school learn mathematics and Portuguese.
dadeer	morning	Ha dadeer, ami bá iha eskola.	In the morning, I go to school.
kolektivu	collective	Sira servisu kolektivu hodi atinji objetivu sira-nian.	They work collectively to achieve their objectives.
konkorda	agree	Ami konkorda ho plano ne'e.	I agree with this plan.
notísia	news	Ha'u rona notísia kona-ba eleisaun prezidente foun iha televizaun.	I heard the news about the new presidential election on television.
bele	can, be able to	Ha'u bele ko'alia Inglés.	I can speak English.
órgaun	organ	Órgaun ida ne'e importante ba sistema ne'e nian.	This organ is important for the system's functioning.
parke	park	Ami ba parke ho labarik sira atu halo aktividade fiziku.	I went to the park with the kids to do some physical activities.
domisíliu	residence	Ha'u moris iha domisíliu ida iha Dili.	I live in a residence in Dili.
interrogatóriu	questioning	Polísia halo interrogatóriu ba suspeitu kona-ba kazu ne'e.	The police conducted questioning of the suspect about the case.
kandidata	candidate	Kandidata ba eleisaun prezidensiál mai husi partidu polítiku diferente.	The candidate for the presidential election comes from a different political party.
insidensia	insidence	Governu tenke hadia insidensia kriminalidade iha komunidade.	The government needs to address the incidence of crime in the community.
kompañia	company	Ha'u servisu iha kompañia ida iha Dili.	I work for a company in Dili.
madrugada	pre-dawn	Ami sae madrugada atu halo orasaun.	I wake up pre-dawn to pray.
dezlokadu	displaced person	Dezlokadu sira iha Timor-Leste barak mak lakon sira nia uma no hela fatin durante konflitu.	Many displaced persons in Timor-Leste lost their homes and livelihoods during the conflict.
fukun	source	Bee hau nia fukun ba informasaun ne'e mak hau nia kolega.	The source of this information is my colleague.
rezisténsia	resistance	Povu Timor-Leste hakarak rezisténsia hasoru okupasaun Indonézia iha tempu lalu.	The people of Timor-Leste wanted resistance against the Indonesian occupation in the past.
ambitu	context	Kontextu ne'e importante tebes iha diskusaun ida, tanba ambitu ne'e bele muda tuir tempu no mós kondisaun.	The context is very important in a discussion, because it can change over time and also depending on the condition.
alfándega	customs (for import)	Ami tenki pasa alfándega molok ami tama ba rai seluk.	I need to go through customs before I enter another country.
mutin	white	Fatin ne'e mutin no liman.	This place is white and clean.
tinan	year	Ha'u iha tinan 25.	I am 25 years old.
ha’u-nia	my	Ha'u-nia uma iha Dili.	My house is in Dili.
rai	country	Ami moris iha rai Timor-Leste.	I was born in the country of Timor-Leste.
komarka	jail	Polisia kaer nia ba komarka tanba nia komete krime.	The police took him to jail because he committed a crime.
aprovizionamentu	procurement	Governu tenki halo aprovizionamentu ba ekipamentu eskola nian.	The government needs to procure equipment for the schools.
traduz	translate	Ha'u sei traduz dokumentu ida ba lian Inglés.	I will translate a document into English.
programa	plan, policy	Governu dezenvolve programa ida atu hadi'a ekonomia nasional.	The government develops a plan to improve the national economy.
fiskalizasaun	inspection, monitoring	Governu halo fiskalizasaun ba projesu konstrusaun estrada nasional.	The government conducts inspections on the national road construction project.
finalizasaun	finalisation	Prosesu ne'e sei remata iha finalizasaun projetu nian.	The process will end with the finalisation of the project.
espíritu	spirit	Espíritu sira iha kultura Timor-Leste nian importante tebes.	Spirits play a very important role in East Timorese culture.
