ind	eng	example.gpt4_src	example.gpt4_tgt
sehari-hari	everyday	Saya selalu minum kopi setiap pagi sebagai bagian dari rutinitas sehari-hari saya.	I always drink coffee every morning as part of my everyday routine.
hitam	black	Kucing itu berwarna hitam dan sangat lucu.	The cat is black and very cute.
buatkan	make	Tolong buatkan saya secangkir kopi.	Please make me a cup of coffee.
berdebar	throb	Jantungku berdebar kencang saat menunggu hasil ujian.	My heart was throbbing fast while waiting for the exam results.
kungfu	kungfu	Dia belajar kungfu sejak kecil untuk melindungi dirinya.	He has been learning kungfu since childhood to protect himself.
lembur	overtime	Saya harus lembur malam ini untuk menyelesaikan proyek.	I have to work overtime tonight to finish the project.
menjijikan	disgusting	Bau sampah di tempat pembuangan itu sangat menjijikan.	The smell of garbage at the dump is very disgusting.
menanyai	question	Polisi menanyai saksi untuk mendapatkan informasi lebih lanjut tentang kejadian tersebut.	The police questioned the witness to gather more information about the incident.
dimengerti	understood	Penjelasan guru itu mudah dimengerti oleh semua siswa.	The teacher's explanation was easily understood by all the students.
dirancang	planned	Proyek ini dirancang untuk selesai dalam waktu enam bulan.	This project is planned to be completed within six months.
mainan	toy	Anak-anak itu bermain dengan mainan baru mereka di taman.	The children are playing with their new toys in the park.
dikenal	known	Dia dikenal sebagai penyanyi yang sangat berbakat di seluruh negeri.	She is known as a very talented singer throughout the country.
iris	slice	Tolong iris bawang merah ini tipis-tipis untuk salad.	Please slice this red onion thinly for the salad.
rehabilitasi	rehabilitation	Setelah kecelakaan itu, dia menjalani program rehabilitasi selama enam bulan.	After the accident, he underwent a six-month rehabilitation program.
saudari	sister	Saudari saya bekerja sebagai dokter di rumah sakit.	My sister works as a doctor at the hospital.
berdarah	bleeding	Luka di tangannya berdarah setelah terjatuh dari sepeda.	The wound on his hand was bleeding after he fell off his bike.
gunung	mountain	Kami mendaki gunung setiap akhir pekan untuk menikmati pemandangan.	We hike the mountain every weekend to enjoy the view.
bernegosiasi	negotiate	Mereka harus bernegosiasi dengan pihak lain untuk mencapai kesepakatan.	They have to negotiate with the other party to reach an agreement.
berfoto	take a photo	Kami berfoto di depan candi Borobudur saat liburan.	We took a photo in front of the Borobudur temple during our vacation.
kebajikan	virtue	Kebajikan adalah salah satu nilai yang diajarkan oleh orang tua kepada anak-anak mereka.	Virtue is one of the values taught by parents to their children.
menuntun	guide	Guru itu menuntun murid-muridnya dengan sabar.	The teacher guides her students patiently.
duka	grief	Dia merasakan duka yang mendalam setelah kehilangan ibunya.	He felt deep grief after losing his mother.
disalahkan	blamed	Dia disalahkan atas kesalahan yang sebenarnya tidak dia lakukan.	He was blamed for a mistake he didn't actually make.
status	status	Status pekerjaan saya saat ini adalah manajer proyek.	My current job status is project manager.
tabungan	savings	Saya menabung sebagian dari gaji saya setiap bulan untuk tabungan masa depan.	I save a portion of my salary every month for future savings.
perapian	fireplace	Kami duduk di depan perapian sambil menikmati secangkir teh hangat.	We sat in front of the fireplace while enjoying a cup of warm tea.
meriam	cannon	Meriam itu ditempatkan di atas bukit untuk melindungi kota dari serangan musuh.	The cannon was placed on the hill to protect the city from enemy attacks.
kelihatannya	apparently	Kelihatannya dia tidak akan datang ke pesta malam ini.	Apparently, he is not coming to the party tonight.
biarkan	let	Biarkan dia pergi jika itu yang dia inginkan.	Let him go if that's what he wants.
mahal	expensive	Harga mobil itu sangat mahal.	The price of that car is very expensive.
kekhawatiran	concern	Kekhawatiran tentang perubahan iklim semakin meningkat di seluruh dunia.	Concern about climate change is increasing around the world.
tahu	know	Apakah kamu tahu di mana letak perpustakaan?	Do you know where the library is?
lusa	day after tomorrow	Kita akan pergi ke pantai lusa.	We will go to the beach the day after tomorrow.
tertua	oldest	Dia adalah anak tertua di keluarganya.	He is the oldest child in his family.
mendirikan	establish	Mereka berencana mendirikan sebuah sekolah baru di desa itu tahun depan.	They plan to establish a new school in the village next year.
dahsyat	awesome	Pertunjukan kembang api tadi malam benar-benar dahsyat!	The fireworks show last night was truly awesome!
goreng	fried	Ayam goreng ini sangat renyah dan lezat.	This fried chicken is very crispy and delicious.
merindukan	miss	Aku sangat merindukan keluargaku yang tinggal di luar negeri.	I really miss my family who live abroad.
pemakaman	funeral	Keluarga besar berkumpul untuk menghadiri pemakaman nenek mereka.	The extended family gathered to attend their grandmother's funeral.
menggonggong	bark	Anjing itu menggonggong sepanjang malam.	The dog barked all night long.
tangan	hand	Dia menulis surat dengan tangan kanan.	He writes the letter with his right hand.
surga	heaven	Banyak orang percaya bahwa surga adalah tempat yang penuh kedamaian dan kebahagiaan.	Many people believe that heaven is a place full of peace and happiness.
flu	flu	Dia tidak masuk kerja hari ini karena terkena flu.	He didn't come to work today because he caught the flu.
melemah	weaken	Setelah bekerja keras sepanjang hari, tubuhnya mulai melemah.	After working hard all day, his body began to weaken.
menghormati	honor	Kita harus selalu menghormati orang tua kita.	We should always honor our parents.
kota-kota	cities	Banyak kota-kota di Indonesia yang memiliki sejarah yang kaya dan budaya yang beragam.	Many cities in Indonesia have a rich history and diverse cultures.
depresi	depression	Setelah kehilangan pekerjaannya, Budi mengalami depresi yang mendalam.	After losing his job, Budi experienced deep depression.
topi	hat	Dia memakai topi merah saat pergi ke pasar.	She wore a red hat when she went to the market.
anak-anak	children	Anak-anak bermain di taman setiap sore.	The children play in the park every afternoon.
mendatangkan	bring	Acara tersebut mendatangkan banyak wisatawan dari berbagai negara.	The event brought many tourists from various countries.
