fra	eng	example.llama_src	example.llama_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
croissant	crescent	Le croissant est un symbole de la République française et apparaît sur le drapeau national.	The crescent is a symbol of the French Republic and appears on the national flag.	Yes	Yes	Yes	Yes	3 Average	
session	session	La session de formation a duré trois heures et a couvert tous les aspects de la nouvelle politique de l'entreprise.	The training session lasted three hours and covered all aspects of the company's new policy.	Yes	Yes	Yes	Yes	5 Very good	
fric	cash	J'ai besoin de fric pour payer mon loyer ce mois-ci.	I need cash to pay my rent this month.	Yes	Yes	Yes	Somewhat	4 Good	
surnom	nickname	Son surnom était "Le Tigre" en raison de son style de jeu agressif sur le terrain de football.	His nickname was "The Tiger" due to his aggressive playing style on the soccer field.	Yes	Yes	Yes	Yes	5 Very good	
géographie	geography	J'ai étudié la géographie en classe pour comprendre les différentes régions du monde.	I studied geography in class to understand the different regions of the world.	Yes	Yes	Yes	Somewhat	4 Good	
pair	peer	Elle a été élue pair à vie par le président de la République en reconnaissance de ses contributions exceptionnelles à la littérature française.	She was appointed a life peer by the President of the Republic in recognition of her outstanding contributions to French literature.	Yes	Yes	Yes	Somewhat	4 Good	
pisse	piss	Après avoir bu trop de bière, il a dû aller pisser derrière le bar.	After drinking too much beer, he had to go piss behind the bar.	Yes	Yes	Yes	Yes	5 Very good	
vigoureux	vigorous	Le jardinier a planté un rosier vigoureux qui a rapidement grandi et fleuri.	The gardener planted a vigorous rose bush that quickly grew and bloomed.	Yes	Yes	Yes	Yes	5 Very good	
canyon	canyon	Le Grand Canyon du Colorado est l'un des plus célèbres canyons du monde.	The Grand Canyon of Colorado is one of the most famous canyons in the world.	Yes	Yes	Yes	Yes	5 Very good	
éraflure	scratch	J'ai fait une éraflure sur la voiture en me garant trop près du mur.	I scratched the car when I parked too close to the wall.	Yes	Yes	Yes	Somewhat	4 Good	
privilège	privilege	Le fait d'avoir un passeport valide est un privilège qui facilite les voyages internationaux.	Having a valid passport is a privilege that facilitates international travel.	No	Yes	Yes	Yes	3 Average	
rade	harbor	Le navire est entré dans la rade pour se mettre à l'abri de la tempête.	The ship entered the harbor to take shelter from the storm.	Yes	Yes	Yes	Yes	5 Very good	
voyou	thug	Le voyou a été arrêté par la police après avoir commis un vol à main armée.	The thug was arrested by the police after committing an armed robbery.	Yes	Yes	Yes	Yes	5 Very good	
