fra	eng	example.gpt4_src	example.gpt4_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
croissant	crescent	La lune était en forme de croissant dans le ciel nocturne.	The moon was in the shape of a crescent in the night sky.	Yes	Yes	Yes	Yes	4 Good	
session	session	La session de formation commence à 9 heures demain matin.	The training session starts at 9 AM tomorrow morning.	Yes	Yes	Yes	Yes	5 Very good	
fric	cash	J'ai besoin de plus de fric pour acheter cette voiture.	I need more cash to buy this car.	Yes	Yes	Yes	Yes	4 Good	
surnom	nickname	Son surnom au lycée était "Le Génie" à cause de ses excellentes notes en mathématiques.	His nickname in high school was "The Genius" because of his excellent grades in mathematics.	Yes	Yes	Yes	Yes	5 Very good	
géographie	geography	La géographie de la France est très variée, avec des montagnes, des plaines et des côtes.	The geography of France is very varied, with mountains, plains, and coasts.	Yes	Yes	Yes	Yes	5 Very good	
pair	peer	Elle a demandé l'avis de ses pairs avant de prendre une décision importante.	She sought the advice of her peers before making an important decision.	Yes	Yes	Yes	Yes	5 Very good	
pisse	piss	Il est allé derrière l'arbre pour faire une pisse rapide.	He went behind the tree to take a quick piss.	Somewhat	Yes	Yes	Somewhat	3 Average	
vigoureux	vigorous	Le jardinier a fait un effort vigoureux pour arracher les mauvaises herbes.	The gardener made a vigorous effort to pull out the weeds.	Yes	Yes	Yes	Yes	5 Very good	
canyon	canyon	Le Grand Canyon est l'un des sites touristiques les plus célèbres des États-Unis.	The Grand Canyon is one of the most famous tourist attractions in the United States.	Yes	Somewhat	Yes	Yes	4 Good	
éraflure	scratch	J'ai une petite éraflure sur le bras après être tombé de mon vélo.	I have a small scratch on my arm after falling off my bike.	Yes	Yes	Yes	Somewhat	4 Good	
privilège	privilege	Avoir accès à une éducation de qualité est un privilège que tout le monde ne peut pas se permettre.	Having access to quality education is a privilege that not everyone can afford.	Yes	Yes	Yes	Yes	5 Very good	
rade	harbor	Le bateau est entré dans la rade pour éviter la tempête.	The ship entered the harbor to avoid the storm.	Yes	Yes	Yes	Yes	5 Very good	
voyou	thug	Le voyou a été arrêté par la police après avoir volé une voiture.	The thug was arrested by the police after stealing a car.	Yes	Yes	Yes	Yes	5 Very good	
exaucer	grant	Elle a prié pour que ses souhaits soient exaucés.	She prayed for her wishes to be granted.	Yes	Yes	Yes	Yes	5 Very good	
draguer	flirt	Il aime draguer les filles au café du coin.	He likes to flirt with the girls at the local café.	Yes	Yes	Yes	Somewhat	4 Good	
avaler	swallow	Il a dû avaler un comprimé pour calmer son mal de tête.	He had to swallow a pill to ease his headache.	Yes	Yes	Yes	Yes	5 Very good	
grippe	flu	J'ai attrapé la grippe et je dois rester au lit pendant quelques jours.	I caught the flu and need to stay in bed for a few days.	Yes	Yes	Yes	Yes	5 Very good	
saucisson	sausage	J'ai acheté du saucisson au marché pour notre pique-nique.	I bought some sausage at the market for our picnic.	Yes	Yes	Yes	Yes	5 Very good	
progéniture	offspring	Les parents sont très fiers de leur progéniture.	The parents are very proud of their offspring.	Yes	Yes	Yes	Yes	5 Very good	
meuble	furniture	Nous avons acheté de nouveaux meubles pour le salon.	We bought new furniture for the living room.	Yes	Yes	Yes	Yes	5 Very good	
sirop	syrup	J'aime mettre du sirop d'érable sur mes crêpes le matin.	I love putting maple syrup on my pancakes in the morning.	Yes	Yes	Yes	Yes	4 Good	
fortune	fortune	Il a fait fortune en investissant dans l'immobilier.	He made a fortune by investing in real estate.	Yes	Yes	Yes	Yes	5 Very good	
bus	bus	J'attends le bus à l'arrêt depuis dix minutes.	I have been waiting for the bus at the stop for ten minutes.	Yes	Yes	Yes	Yes	5 Very good	
collaboration	collaboration	La collaboration entre les deux entreprises a conduit à un produit innovant.	The collaboration between the two companies led to an innovative product.	Yes	Yes	Yes	Yes	4 Good	
