ind	eng
sehari-hari	everyday
hitam	black
buatkan	make
berdebar	throb
kungfu	kungfu
lembur	overtime
menjijikan	disgusting
menanyai	question
dimengerti	understood
dirancang	planned
mainan	toy
dikenal	known
iris	slice
rehabilitasi	rehabilitation
saudari	sister
berdarah	bleeding
gunung	mountain
bernegosiasi	negotiate
berfoto	take a photo
kebajikan	virtue
menuntun	guide
duka	grief
disalahkan	blamed
status	status
tabungan	savings
perapian	fireplace
meriam	cannon
kelihatannya	apparently
biarkan	let
mahal	expensive
kekhawatiran	concern
tahu	know
lusa	day after tomorrow
tertua	oldest
mendirikan	establish
dahsyat	awesome
goreng	fried
merindukan	miss
pemakaman	funeral
menggonggong	bark
tangan	hand
surga	heaven
flu	flu
melemah	weaken
menghormati	honor
kota-kota	cities
depresi	depression
topi	hat
anak-anak	children
mendatangkan	bring
kesempurnaan	perfection
