tdt	eng	example.gpt4_src	example.gpt4_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
linguajen	language	Hau aprende linguajen foun iha eskola.	I am learning a new language at school.	Yes	Somewhat	Yes	Somewhat	3 Average	
veteranu	veteran	Ami nia avó mak veteranu iha guerra.	Our grandfather is a veteran of the war.	Yes	Somewhat	Yes	Yes	4 Good	
bomba	bomb	Bomba ne'e nakfilak iha uma laran.	The bomb exploded inside the house.	No	No	No	No	1: Bad	
tradutór	translator	Nia hanorin-an hanesan tradutór iha universidade.	She works as a translator at the university.	No	Somewhat	No	No	2: Pretty bad	
profesionalismu	professional	Ema ne'e hatudu profesionalismu iha servisu nia laran.	This person demonstrates professionalism in their work.	Yes	Somewhat	Yes	Yes	4 Good	
assosiasaun	association	Assosiasaun ne'e ajuda komunidade hodi dezenvolve projetu sira.	The association helps the community to develop projects.	Yes	Somewhat	Yes	Yes	4 Good	
examplu	exemple	Ita bele uza examplu ida ne'e hodi hatene liu tan.	You can use this example to understand better.	Yes	Somewhat	Yes	Yes	4 Good	
HIV-SIDA	HIV-AIDS	Ema tenke hatene kona-ba prevensaun husi HIV-SIDA.	People need to know about the prevention of HIV-AIDS.	Yes	Yes	Yes	Yes	5 Very good	
duut	grass	Labarik sira halimar iha duut ne'ebé toos.	The children are playing on the grass in the field.	No	Somewhat	No	No	2: Pretty bad	
másimu	maximum	Ami bele lori másimu 20 ema ba pasiar iha loron Sabadu.	We can take a maximum of 20 people for the trip on Saturday.	Somewhat	Yes	Yes	Yes	4 Good	
aniversáriu	anniversary	Ami celebra aniversáriu kaben ami nia tinan lima iha loron Sabadu.	We celebrated our fifth wedding anniversary on Saturday.	No	No	No	Somewhat	2: Pretty bad	
inísiu	beginning, start	Inísiu loron-nain ida ne'e, ami hanoin atu halo festa.	At the beginning of this week, we thought about having a party.	No	No	No	No	1: Bad	
formasaun	training	Ema ne'ebé servisu iha governu tenke hetan formasaun kona-ba lei foun.	People who work in the government need to receive training on the new law.	Yes	Yes	Yes	Yes	5 Very good	
matadalan	guide	Matadalan ne'e sei ajuda ita hatene dalan ba uma.	This guide will help you find the way home.	Yes	Yes	Yes	Yes	5 Very good	
kompetisaun	competition	Kompetisaun iha eskola ne'e halo estudante sira hakarak aprende liu.	The competition at this school makes students want to learn more.	Yes	Somewhat	Yes	Yes	4 Good	
Fijianu	Fijian	Ami nia vizinyu hosi Fiji, nia hanoin barak kona ba kultura Fijianu.	Our neighbor from Fiji often talks about Fijian culture.	Yes	Yes	Yes	Yes	5 Very good	
marítima	maritime	Timor-Leste nian ekonomia depende barak ba atividade marítima.	Timor-Leste's economy heavily depends on maritime activities.	Yes	Yes	Yes	Yes	5 Very good	
bola	ball	Labarik sira halimar ho bola iha kampu.	The children are playing with a ball in the field.	No	No	Somewhat	Yes	3 Average	
