fra	eng	Difficulty	example.gpt4_src	example.gpt4_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment	Example quality	Comment	4.80
croissant	crescent	medium	La lune était en forme de croissant dans le ciel nocturne.	The moon was in the shape of a crescent in the night sky.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
session	session	easy	La session de formation commence à 9 heures demain matin.	The training session starts at 9 AM tomorrow morning.	Yes	Yes	Yes	Somewhat	4 Good		5 Very good		5
fric	cash	medium	J'ai besoin de plus de fric pour acheter cette voiture.	I need more cash to buy this car.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
surnom	nickname	medium	Son surnom au lycée était "Le Génie" à cause de ses excellentes notes en mathématiques.	His nickname in high school was "The Genius" because of his excellent grades in mathematics.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
géographie	geography	easy	La géographie de la France est très variée, avec des montagnes, des plaines et des côtes.	The geography of France is very varied, with mountains, plains, and coasts.	Yes	Yes	Yes	Yes	5 Very good		4 Good	Intelligible	4
pair	peer	medium	Elle a demandé l'avis de ses pairs avant de prendre une décision importante.	She sought the advice of her peers before making an important decision.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
pisse	piss	easy	Il est allé derrière l'arbre pour faire une pisse rapide.	He went behind the tree to take a quick piss.	Yes	Yes	Yes	No	3 Average		3 Average	Translationese	3
vigoureux	vigorous	medium	Le jardinier a fait un effort vigoureux pour arracher les mauvaises herbes.	The gardener made a vigorous effort to pull out the weeds.	Yes	Yes	Yes	Somewhat	4 Good		5 Very good		5
canyon	canyon	medium	Le Grand Canyon est l'un des sites touristiques les plus célèbres des États-Unis.	The Grand Canyon is one of the most famous tourist attractions in the United States.	Yes	Yes	Yes	Yes	5 Very good		4 Good		4
éraflure	scratch	medium	J'ai une petite éraflure sur le bras après être tombé de mon vélo.	I have a small scratch on my arm after falling off my bike.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
privilège	privilege	medium	Avoir accès à une éducation de qualité est un privilège que tout le monde ne peut pas se permettre.	Having access to quality education is a privilege that not everyone can afford.	Yes	Yes	Yes	Yes	5 Very good		4 Good	Intelligible	4
rade	harbor	hard	Le bateau est entré dans la rade pour éviter la tempête.	The ship entered the harbor to avoid the storm.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
voyou	thug	medium	Le voyou a été arrêté par la police après avoir volé une voiture.	The thug was arrested by the police after stealing a car.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
exaucer	grant	hard	Elle a prié pour que ses souhaits soient exaucés.	She prayed for her wishes to be granted.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
draguer	flirt	medium	Il aime draguer les filles au café du coin.	He likes to flirt with the girls at the local café.	Yes	Yes	Yes	Yes	4 Good		4 Good	Translationese	4
avaler	swallow	medium	Il a dû avaler un comprimé pour calmer son mal de tête.	He had to swallow a pill to ease his headache.	Yes	Yes	Yes	Yes	5 Very good		5 Very good		5
