tdt	eng
linguajen	language
veteranu	veteran
bomba	bomb
tradutór	translator
profesionalismu	professional
assosiasaun	association
examplu	exemple
HIV-SIDA	HIV-AIDS
duut	grass
másimu	maximum
aniversáriu	anniversary
inísiu	beginning, start
formasaun	training
matadalan	guide
kompetisaun	competition
Fijianu	Fijian
marítima	maritime
bola	ball
sékulu	century
sai	exit, leave
estudante	student
dadeer	morning
kolektivu	collective
konkorda	agree
notísia	news
bele	can, be able to
órgaun	organ
parke	park
domisíliu	residence
interrogatóriu	questioning
kandidata	candidate
insidensia	insidence
kompañia	company
madrugada	pre-dawn
dezlokadu	displaced person
fukun	source
rezisténsia	resistance
ambitu	context
alfándega	customs (for import)
mutin	white
tinan	year
ha’u-nia	my
rai	country
komarka	jail
aprovizionamentu	procurement
traduz	translate
programa	plan, policy
fiskalizasaun	inspection, monitoring
finalizasaun	finalisation
espíritu	spirit
