fra	eng
croissant	crescent
session	session
fric	cash
surnom	nickname
géographie	geography
pair	peer
pisse	piss
vigoureux	vigorous
canyon	canyon
éraflure	scratch
privilège	privilege
rade	harbor
voyou	thug
exaucer	grant
draguer	flirt
avaler	swallow
grippe	flu
saucisson	sausage
progéniture	offspring
meuble	furniture
sirop	syrup
fortune	fortune
bus	bus
collaboration	collaboration
trotter	trot
expansion	expansion
échange	exchange
bêtement	stupidly
crevé	exhausted
obligatoire	mandatory
symptôme	symptom
restriction	restriction
flocon	flake
épeler	spell
figurine	figurine
media	media
justement	precisely
stimulant	stimulant
tomber	fall
cauchemar	nightmare
chiche	dare
on	we
zombie	zombie
frisson	shiver
prolonger	extend
patient	patient
assommer	knock
hamac	hammock
ver	worm
passionnant	exciting
