ind	eng	example.gpt4_src	example.gpt4_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
sehari-hari	everyday	Saya selalu minum kopi setiap pagi sebagai bagian dari rutinitas sehari-hari saya.	I always drink coffee every morning as part of my everyday routine.	Yes	Yes	Yes	Yes	5 Very good	
hitam	black	Kucing itu berwarna hitam dan sangat lucu.	The cat is black and very cute.	Yes	No	Yes	Yes	3 Average	Doesn't show how 'hitam' is different from any other colour
buatkan	make	Tolong buatkan saya secangkir kopi.	Please make me a cup of coffee.	Yes	No	Yes	Yes	3 Average	Doesn't show difference from 'belikan' (buy), 'ambilkan' (grab), etc.
berdebar	throb	Jantungku berdebar kencang saat menunggu hasil ujian.	My heart was throbbing fast while waiting for the exam results.	Yes	Yes	Yes	Yes	5 Very good	
kungfu	kungfu	Dia belajar kungfu sejak kecil untuk melindungi dirinya.	He has been learning kungfu since childhood to protect himself.	Yes	Somewhat	Yes	Yes	4 Good	Although it shows 'kungfu' is martial arts, it doesn't show difference from 'karate' or any others
lembur	overtime	Saya harus lembur malam ini untuk menyelesaikan proyek.	I have to work overtime tonight to finish the project.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'hard' (EN part) or just 'kerja' (to work) (ID part)
menjijikan	disgusting	Bau sampah di tempat pembuangan itu sangat menjijikan.	The smell of garbage at the dump is very disgusting.	Somewhat	Somewhat	Yes	Somewhat	3 Average	Menjijikan' isn't typically used for smells; doesn't show difference from 'menyengat' (intense) or 'tajam' (sharp); dropping 'very' sounds more natural
menanyai	question	Polisi menanyai saksi untuk mendapatkan informasi lebih lanjut tentang kejadian tersebut.	The police questioned the witness to gather more information about the incident.	Yes	Yes	Yes	Somewhat	4 Good	Keterangan' is more natural/typical here than 'informasi'
dimengerti	understood	Penjelasan guru itu mudah dimengerti oleh semua siswa.	The teacher's explanation was easily understood by all the students.	Yes	Yes	Yes	Yes	5 Very good	
dirancang	planned	Proyek ini dirancang untuk selesai dalam waktu enam bulan.	This project is planned to be completed within six months.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'diharapkan' (hoped)
mainan	toy	Anak-anak itu bermain dengan mainan baru mereka di taman.	The children are playing with their new toys in the park.	Yes	Yes	Yes	Yes	5 Very good	
dikenal	known	Dia dikenal sebagai penyanyi yang sangat berbakat di seluruh negeri.	She is known as a very talented singer throughout the country.	Yes	Yes	Yes	Yes	5 Very good	
iris	slice	Tolong iris bawang merah ini tipis-tipis untuk salad.	Please slice this red onion thinly for the salad.	Yes	Yes	Yes	Yes	5 Very good	
rehabilitasi	rehabilitation	Setelah kecelakaan itu, dia menjalani program rehabilitasi selama enam bulan.	After the accident, he underwent a six-month rehabilitation program.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'diet' or 'penyembuhan' (recovery)
saudari	sister	Saudari saya bekerja sebagai dokter di rumah sakit.	My sister works as a doctor at the hospital.	Yes	No	Yes	No	2: Pretty bad	Unclear that 'saudari' is female; 'saudari' has a more general meaning than 'sister
berdarah	bleeding	Luka di tangannya berdarah setelah terjatuh dari sepeda.	The wound on his hand was bleeding after he fell off his bike.	Yes	Yes	Yes	Yes	5 Very good	
gunung	mountain	Kami mendaki gunung setiap akhir pekan untuk menikmati pemandangan.	We hike the mountain every weekend to enjoy the view.	Yes	Yes	Yes	Yes	5 Very good	
bernegosiasi	negotiate	Mereka harus bernegosiasi dengan pihak lain untuk mencapai kesepakatan.	They have to negotiate with the other party to reach an agreement.	Yes	Yes	Yes	Yes	5 Very good	
berfoto	take a photo	Kami berfoto di depan candi Borobudur saat liburan.	We took a photo in front of the Borobudur temple during our vacation.	Yes	Somewhat	Yes	Yes	4 Good	
kebajikan	virtue	Kebajikan adalah salah satu nilai yang diajarkan oleh orang tua kepada anak-anak mereka.	Virtue is one of the values taught by parents to their children.	Somewhat	No	Yes	Yes	2: Pretty bad	Unclear what 'virtue' is
menuntun	guide	Guru itu menuntun murid-muridnya dengan sabar.	The teacher guides her students patiently.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show the difference from 'mengajar' (EN: teach)
duka	grief	Dia merasakan duka yang mendalam setelah kehilangan ibunya.	He felt deep grief after losing his mother.	Yes	Yes	Yes	Yes	5 Very good	
disalahkan	blamed	Dia disalahkan atas kesalahan yang sebenarnya tidak dia lakukan.	He was blamed for a mistake he didn't actually make.	Yes	Somewhat	Yes	Yes	4 Good	Although the context of mistake is mentioned, it's still unclear that 'disalahkan' is about attribution of fault
status	status	Status pekerjaan saya saat ini adalah manajer proyek.	My current job status is project manager.	No	Yes	Yes	Yes	3 Average	I expect something like 'honorer' (EN: non-continuing?) for a status of job rather than the occupation itself
tabungan	savings	Saya menabung sebagian dari gaji saya setiap bulan untuk tabungan masa depan.	I save a portion of my salary every month for future savings.	Yes	Yes	Somewhat	Yes	4 Good	Using the verb form of the target word
perapian	fireplace	Kami duduk di depan perapian sambil menikmati secangkir teh hangat.	We sat in front of the fireplace while enjoying a cup of warm tea.	Yes	No	Yes	Yes	3 Average	Unclear what a fireplace is
meriam	cannon	Meriam itu ditempatkan di atas bukit untuk melindungi kota dari serangan musuh.	The cannon was placed on the hill to protect the city from enemy attacks.	Yes	Somewhat	Yes	Yes	4 Good	Cannons are normally used to attack rather than defend
kelihatannya	apparently	Kelihatannya dia tidak akan datang ke pesta malam ini.	Apparently, he is not coming to the party tonight.	Yes	No	Yes	Yes	3 Average	Unclear that 'kelihatannya' is about inferring something from observations
biarkan	let	Biarkan dia pergi jika itu yang dia inginkan.	Let him go if that's what he wants.	Yes	Somewhat	Yes	Yes	4 Good	Although what the person wants is mentioned, it's still unclear that 'biarkan' has something to do with permission
mahal	expensive	Harga mobil itu sangat mahal.	The price of that car is very expensive.	Yes	Somewhat	Yes	Yes	4 Good	Although price is mentioned, it's still unclear that 'mahal' is about the price being too high
kekhawatiran	concern	Kekhawatiran tentang perubahan iklim semakin meningkat di seluruh dunia.	Concern about climate change is increasing around the world.	Yes	Yes	Somewhat	Yes	4 Good	Iklim'/'climate' may be a difficult word for Indonesian/English learners respectively
tahu	know	Apakah kamu tahu di mana letak perpustakaan?	Do you know where the library is?	Yes	Yes	Yes	Somewhat	4 Good	Letak' is odd here; I'd change 'letak perpustakaan' to 'perpustakaan berada' (EN: library is located)
lusa	day after tomorrow	Kita akan pergi ke pantai lusa.	We will go to the beach the day after tomorrow.	Yes	No	Yes	Yes	3 Average	Unclear 'lusa' is about time rather than someting else like the beach's name
tertua	oldest	Dia adalah anak tertua di keluarganya.	He is the oldest child in his family.	Yes	No	Yes	Yes	3 Average	Unclear 'tertua' is about age
mendirikan	establish	Mereka berencana mendirikan sebuah sekolah baru di desa itu tahun depan.	They plan to establish a new school in the village next year.	Yes	Yes	Yes	Yes	5 Very good	
dahsyat	awesome	Pertunjukan kembang api tadi malam benar-benar dahsyat!	The fireworks show last night was truly awesome!	Yes	No	Yes	Yes	3 Average	Unclear that 'dahsyat' is something positive
goreng	fried	Ayam goreng ini sangat renyah dan lezat.	This fried chicken is very crispy and delicious.	Yes	Yes	Yes	Yes	5 Very good	
merindukan	miss	Aku sangat merindukan keluargaku yang tinggal di luar negeri.	I really miss my family who live abroad.	Yes	Yes	Yes	Yes	5 Very good	
pemakaman	funeral	Keluarga besar berkumpul untuk menghadiri pemakaman nenek mereka.	The extended family gathered to attend their grandmother's funeral.	Yes	Somewhat	Yes	Yes	4 Good	Unclear that 'pemakaman' is about someone's death
menggonggong	bark	Anjing itu menggonggong sepanjang malam.	The dog barked all night long.	Yes	No	Yes	Yes	3 Average	Unclear what specific activity 'menggonggong' is
tangan	hand	Dia menulis surat dengan tangan kanan.	He writes the letter with his right hand.	Yes	Yes	Yes	Yes	5 Very good	
surga	heaven	Banyak orang percaya bahwa surga adalah tempat yang penuh kedamaian dan kebahagiaan.	Many people believe that heaven is a place full of peace and happiness.	Yes	Yes	Yes	Yes	5 Very good	
flu	flu	Dia tidak masuk kerja hari ini karena terkena flu.	He didn't come to work today because he caught the flu.	Yes	Somewhat	Yes	Yes	4 Good	Lack specific descriptions of flu; currently 'flu' can be replaced with 'cacar' (EN: chickenpox) and it still works
melemah	weaken	Setelah bekerja keras sepanjang hari, tubuhnya mulai melemah.	After working hard all day, his body began to weaken.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'lelah' (EN: tired)
menghormati	honor	Kita harus selalu menghormati orang tua kita.	We should always honor our parents.	Somewhat	Somewhat	Yes	Yes	3 Average	Respect' seems more appropriate; doesn't show difference from 'mendoakan' (EN: pray for), 'mematuhi' (EN: obey), etc.
kota-kota	cities	Banyak kota-kota di Indonesia yang memiliki sejarah yang kaya dan budaya yang beragam.	Many cities in Indonesia have a rich history and diverse cultures.	Yes	No	Yes	Yes	3 Average	Unclear that 'kota' is related to regions and levels of government
depresi	depression	Setelah kehilangan pekerjaannya, Budi mengalami depresi yang mendalam.	After losing his job, Budi experienced deep depression.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'kesedihan' (EN: sadness), 'kekecewaan' (EN: disappointment), etc
topi	hat	Dia memakai topi merah saat pergi ke pasar.	She wore a red hat when she went to the market.	Yes	No	Yes	Yes	3 Average	Unclear that 'topi' is an accessory on one's head
