ind	eng	example.llama_src	example.llama_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
sehari-hari	everyday	Saya menggunakan sepeda sebagai alat transportasi sehari-hari karena lebih ramah lingkungan.	I use a bicycle as my everyday mode of transportation because it's more environmentally friendly.	Yes	Somewhat	Somewhat	Yes	3 Average	Doesn't show difference from 'utama' (main); 'environment' is a moderately difficult word for English learners
hitam	black	Mobilnya berwarna hitam dan terlihat sangat elegan.	His car is black and looks very elegant.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show how 'hitam' is different from any other colour considered elegant
buatkan	make	Ibu membuatkan adik saya sarapan pagi ini.	My mother made breakfast for my little sister this morning.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'menyiapkan' (prepare), 'membelikan' (buy)
berdebar	throb	Jantungku berdebar saat aku mendengar kabar baik itu.	My heart began to throb when I heard the good news.	Yes	Yes	Yes	Yes	5 Very good	
kungfu	kungfu	Ia telah berlatih kungfu sejak usia 10 tahun dan sekarang menjadi juara nasional.	He has been practicing kungfu since he was 10 years old and is now a national champion.	Yes	No	Yes	Yes	3 Average	Doesn't show difference from 'badminton' or any other activity
lembur	overtime	Karena proyek ini harus selesai minggu ini, saya harus bekerja lembur setiap hari.	Since this project needs to be finished this week, I have to work overtime every day.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'keras' (hard)
menjijikan	disgusting	Makanan yang sudah basi itu menjijikan dan tidak seharusnya dikonsumsi.	The spoiled food is disgusting and should not be consumed.	Yes	Somewhat	Yes	Yes	5 Very good	Doesn't show difference from 'bau' (stinks), 'racun' (poison), etc.
menanyai	question	Polisi menanyai saksi mata untuk memperoleh informasi lebih lanjut tentang kejadian itu.	The police questioned the eyewitness to obtain more information about the incident.	Yes	Yes	Yes	Somewhat	4 Good	Keterangan' is more natural/typical here than 'informasi'
dimengerti	understood	Saya senang karena penjelasan saya telah dimengerti oleh semua orang dalam pertemuan tersebut.	I'm glad that my explanation was understood by everyone in the meeting.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'diterima' (accepted), 'diapresiasi' (appreciated), etc
dirancang	planned	Proyek ini telah dirancang dengan sangat baik sehingga dapat diselesaikan dalam waktu enam bulan.	The project was planned very well so it can be completed within six months.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'dikerjakan' (done), 'didanai' (funded), etc
mainan	toy	Anak itu sangat gembira ketika menerima mainan baru dari ayahnya.	The child was overjoyed when he received a new toy from his father.	Yes	Somewhat	Yes	Yes	4 Good	Doesn't show difference from 'baju' (clothes) etc
dikenal	known	Ia dikenal sebagai seorang penulis novel yang sukses di Indonesia.	She is known as a successful novelist in Indonesia.	Yes	Yes	Yes	Yes	5 Very good	
iris	slice	Ibu memotong roti menjadi beberapa iris untuk disajikan kepada tamu.	Mother cut the bread into several slices to serve to the guests.	No	Somewhat	Yes	Somewhat	3 Average	The typical counter word for bread is 'helai' (sheet); doesn't show difference from 'bagian' (part); missing article for 'mother', or 'mum/mom' should be used instead
rehabilitasi	rehabilitation	Pusat rehabilitasi tersebut menyediakan program terapi untuk pasien yang mengalami cedera otak.	The rehabilitation center provides therapy programs for patients who have suffered brain injuries.	Yes	Yes	Yes	Yes	5 Very good	
saudari	sister	Saudari saya sedang belajar di luar negeri.	My sister is studying abroad.	Yes	No	Yes	No	2: Pretty bad	Unclear that 'saudari' is female; 'saudari' has a more general meaning than 'sister
berdarah	bleeding	Setelah terjatuh, lututnya berdarah dan perlu dibersihkan segera.	After falling, her knee was bleeding and needed to be cleaned immediately.	Yes	Yes	Yes	Yes	5 Very good	
gunung	mountain	Gunung Fuji di Jepang terkenal karena keindahan alamnya yang luar biasa.	Mount Fuji in Japan is famous for its extraordinary natural beauty.	Yes	Yes	Yes	Yes	5 Very good	
bernegosiasi	negotiate	Kedua belah pihak harus bernegosiasi untuk mencapai kesepakatan yang adil.	Both parties must negotiate to reach a fair agreement.	Yes	Yes	Yes	Yes	5 Very good	
berfoto	take a photo	Kami berfoto di depan monumen nasional saat liburan.	We took a photo in front of the national monument during our vacation.	Yes	Somewhat	Yes	Yes	4 Good	
kebajikan	virtue	Ibu merupakan contoh kebajikan bagi anak-anaknya karena selalu membantu mereka yang membutuhkan.	The mother is an example of virtue to her children because she always helps those in need.	No	Yes	Yes	Yes	2: Pretty bad	Kebajikan' is rarely used in this way
menuntun	guide	Guru menuntun siswa dalam melakukan eksperimen sains yang rumit.	The teacher guides the students in conducting a complex science experiment.	Yes	Yes	Yes	Yes	5 Very good	
duka	grief	Ia merasakan duka yang mendalam setelah kehilangan orang tuanya.	She felt deep grief after losing her parents.	Yes	Yes	Yes	Yes	5 Very good	
