fra	eng	example.llama_src	example.llama_tgt
croissant	crescent	Le croissant est un symbole de la République française et apparaît sur le drapeau national.	The crescent is a symbol of the French Republic and appears on the national flag.
session	session	La session de formation a duré trois heures et a couvert tous les aspects de la nouvelle politique de l'entreprise.	The training session lasted three hours and covered all aspects of the company's new policy.
fric	cash	J'ai besoin de fric pour payer mon loyer ce mois-ci.	I need cash to pay my rent this month.
surnom	nickname	"Son surnom était ""Le Tigre"" en raison de son style de jeu agressif sur le terrain de football."	"His nickname was ""The Tiger"" due to his aggressive playing style on the soccer field."
géographie	geography	J'ai étudié la géographie en classe pour comprendre les différentes régions du monde.	I studied geography in class to understand the different regions of the world.
pair	peer	Elle a été élue pair à vie par le président de la République en reconnaissance de ses contributions exceptionnelles à la littérature française.	She was appointed a life peer by the President of the Republic in recognition of her outstanding contributions to French literature.
pisse	piss	Après avoir bu trop de bière, il a dû aller pisser derrière le bar.	After drinking too much beer, he had to go piss behind the bar.
vigoureux	vigorous	Le jardinier a planté un rosier vigoureux qui a rapidement grandi et fleuri.	The gardener planted a vigorous rose bush that quickly grew and bloomed.
canyon	canyon	Le Grand Canyon du Colorado est l'un des plus célèbres canyons du monde.	The Grand Canyon of Colorado is one of the most famous canyons in the world.
éraflure	scratch	J'ai fait une éraflure sur la voiture en me garant trop près du mur.	I scratched the car when I parked too close to the wall.
privilège	privilege	Le fait d'avoir un passeport valide est un privilège qui facilite les voyages internationaux.	Having a valid passport is a privilege that facilitates international travel.
rade	harbor	Le navire est entré dans la rade pour se mettre à l'abri de la tempête.	The ship entered the harbor to take shelter from the storm.
voyou	thug	Le voyou a été arrêté par la police après avoir commis un vol à main armée.	The thug was arrested by the police after committing an armed robbery.
exaucer	grant	Après avoir examiné la demande, le comité a décidé d'exaucer le souhait de la communauté en finançant le projet.	After reviewing the application, the committee decided to grant the community's wish by funding the project.
draguer	flirt	Il a passé la soirée à draguer les filles au bar, mais aucune ne semblait intéressée.	He spent the evening flirting with the girls at the bar, but none of them seemed interested.
avaler	swallow	Il a avalé son médicament avec un grand verre d'eau.	He swallowed his medication with a large glass of water.
grippe	flu	J'ai attrapé la grippe pendant les vacances et j'ai dû passer une semaine au lit.	I caught the flu during the holidays and had to spend a week in bed.
saucisson	sausage	J'ai acheté un saucisson sec pour accompagner le fromage et le pain.	I bought a dry sausage to go with the cheese and bread.
progéniture	offspring	Les parents sont fiers de leur progéniture qui a obtenu d'excellents résultats scolaires.	The parents are proud of their offspring who have achieved excellent academic results.
meuble	furniture	J'ai acheté un nouveau meuble pour mon salon.	I bought a new piece of furniture for my living room.
