ind	eng	example.llama_src	example.llama_tgt
sehari-hari	everyday	Saya menggunakan sepeda sebagai alat transportasi sehari-hari karena lebih ramah lingkungan.	I use a bicycle as my everyday mode of transportation because it's more environmentally friendly.
hitam	black	Mobilnya berwarna hitam dan terlihat sangat elegan.	His car is black and looks very elegant.
buatkan	make	Ibu membuatkan adik saya sarapan pagi ini.	My mother made breakfast for my little sister this morning.
berdebar	throb	Jantungku berdebar saat aku mendengar kabar baik itu.	My heart began to throb when I heard the good news.
kungfu	kungfu	Ia telah berlatih kungfu sejak usia 10 tahun dan sekarang menjadi juara nasional.	He has been practicing kungfu since he was 10 years old and is now a national champion.
lembur	overtime	Karena proyek ini harus selesai minggu ini, saya harus bekerja lembur setiap hari.	Since this project needs to be finished this week, I have to work overtime every day.
menjijikan	disgusting	Makanan yang sudah basi itu menjijikan dan tidak seharusnya dikonsumsi.	The spoiled food is disgusting and should not be consumed.
menanyai	question	Polisi menanyai saksi mata untuk memperoleh informasi lebih lanjut tentang kejadian itu.	The police questioned the eyewitness to obtain more information about the incident.
dimengerti	understood	Saya senang karena penjelasan saya telah dimengerti oleh semua orang dalam pertemuan tersebut.	I'm glad that my explanation was understood by everyone in the meeting.
dirancang	planned	Proyek ini telah dirancang dengan sangat baik sehingga dapat diselesaikan dalam waktu enam bulan.	The project was planned very well so it can be completed within six months.
mainan	toy	Anak itu sangat gembira ketika menerima mainan baru dari ayahnya.	The child was overjoyed when he received a new toy from his father.
dikenal	known	Ia dikenal sebagai seorang penulis novel yang sukses di Indonesia.	She is known as a successful novelist in Indonesia.
iris	slice	Ibu memotong roti menjadi beberapa iris untuk disajikan kepada tamu.	Mother cut the bread into several slices to serve to the guests.
rehabilitasi	rehabilitation	Pusat rehabilitasi tersebut menyediakan program terapi untuk pasien yang mengalami cedera otak.	The rehabilitation center provides therapy programs for patients who have suffered brain injuries.
saudari	sister	Saudari saya sedang belajar di luar negeri.	My sister is studying abroad.
berdarah	bleeding	Setelah terjatuh, lututnya berdarah dan perlu dibersihkan segera.	After falling, her knee was bleeding and needed to be cleaned immediately.
gunung	mountain	Gunung Fuji di Jepang terkenal karena keindahan alamnya yang luar biasa.	Mount Fuji in Japan is famous for its extraordinary natural beauty.
bernegosiasi	negotiate	Kedua belah pihak harus bernegosiasi untuk mencapai kesepakatan yang adil.	Both parties must negotiate to reach a fair agreement.
berfoto	take a photo	Kami berfoto di depan monumen nasional saat liburan.	We took a photo in front of the national monument during our vacation.
kebajikan	virtue	Ibu merupakan contoh kebajikan bagi anak-anaknya karena selalu membantu mereka yang membutuhkan.	The mother is an example of virtue to her children because she always helps those in need.
menuntun	guide	Guru menuntun siswa dalam melakukan eksperimen sains yang rumit.	The teacher guides the students in conducting a complex science experiment.
duka	grief	Ia merasakan duka yang mendalam setelah kehilangan orang tuanya.	She felt deep grief after losing her parents.
disalahkan	blamed	Ia disalahkan atas kegagalan proyek tersebut karena kurangnya pengawasan.	He was blamed for the project's failure due to lack of oversight.
status	status	Setelah menyelesaikan pendidikan S2, status sosialnya meningkat di masyarakat.	After completing her master's degree, her social status increased in the community.
tabungan	savings	Ia memiliki tabungan yang cukup untuk membeli rumah impianya.	She has enough savings to buy her dream house.
perapian	fireplace	Pada malam yang dingin, kami mengumpul di sekitar perapian untuk berbagi cerita dan minum teh hangat.	On a cold night, we gathered around the fireplace to share stories and drink hot tea.
meriam	cannon	Tentara menggunakan meriam untuk menghancurkan benteng musuh.	The army used cannons to destroy the enemy's fortress.
kelihatannya	apparently	Kelihatannya dia tidak akan datang ke pesta malam ini karena sakit.	Apparently, he won't be coming to the party tonight because he's sick.
biarkan	let	Biarkan anak itu bermain sendiri di taman.	Let the child play alone in the park.
mahal	expensive	Saya tidak bisa membeli mobil itu karena harganya terlalu mahal.	I couldn't buy that car because it was too expensive.
kekhawatiran	concern	Kekhawatiran tentang perubahan iklim global semakin meningkat setelah terjadinya beberapa bencana alam besar.	Concern about global climate change has increased after several major natural disasters occurred.
tahu	know	Saya tahu bahwa dia akan datang hari ini.	I know that he will come today.
lusa	day after tomorrow	Saya berencana untuk pergi ke pantai lusa karena cuacanya diperkirakan akan cerah.	I plan to go to the beach the day after tomorrow because the weather is expected to be sunny.
tertua	oldest	Di antara lima bersaudara, dia adalah yang tertua.	Among the five siblings, she is the oldest.
mendirikan	establish	Pemerintah berencana untuk mendirikan sebuah universitas baru di kota tersebut.	The government plans to establish a new university in the city.
dahsyat	awesome	Konser musik rock itu sangat dahsyat dan membuat penonton bersemangat.	The rock music concert was truly awesome and got the audience excited.
goreng	fried	Ibu membuat ayam goreng untuk makan malam.	Mother made fried chicken for dinner.
merindukan	miss	Saya merindukan ibu saya yang sedang berada di luar negeri.	I miss my mother who is currently abroad.
pemakaman	funeral	Keluarga dan teman-teman berkumpul di pemakaman untuk mengucapkan selamat tinggal kepada almarhum.	Family and friends gathered at the funeral to bid farewell to the deceased.
menggonggong	bark	Anjing itu menggonggong keras ketika melihat orang asing di depan rumah.	The dog barked loudly when it saw a stranger in front of the house.
tangan	hand	Saya menggunakan tangan kiri saya untuk menulis.	I use my left hand to write.
surga	heaven	Setelah meninggal, banyak orang percaya bahwa jiwa yang baik akan pergi ke surga.	After passing away, many people believe that a good soul will go to heaven.
flu	flu	Saya tidak bisa masuk kerja hari ini karena saya terkena flu.	I won't be able to come to work today because I have the flu.
melemah	weaken	Karena kurangnya olahraga, otot-ototku mulai melemah.	Due to the lack of exercise, my muscles started to weaken.
menghormati	honor	Kami menghormati jasa para pahlawan yang telah gugur dalam perang kemerdekaan.	We honor the sacrifices of the heroes who died in the war for independence.
kota-kota	cities	Beberapa kota-kota besar di Indonesia memiliki sistem transportasi umum yang baik.	Several major cities in Indonesia have good public transportation systems.
depresi	depression	Ia menderita depresi setelah kehilangan pekerjaannya dan membutuhkan dukungan dari keluarga dan teman-temannya.	She suffered from depression after losing her job and needed support from her family and friends.
topi	hat	Saya memakai topi untuk melindungi kepala saya dari sinar matahari.	I wear a hat to protect my head from the sun.
anak-anak	children	Orang tua harus selalu mengawasi anak-anak mereka saat bermain di taman.	Parents should always supervise their children when they play in the park.
mendatangkan	bring	Konser musik itu mendatangkan ribuan penggemar dari seluruh kota.	The music concert brought thousands of fans from all over the city.
