fra	eng	example.gpt4_src	example.gpt4_tgt
croissant	crescent	La lune était en forme de croissant dans le ciel nocturne.	The moon was in the shape of a crescent in the night sky.
session	session	La session de formation commence à 9 heures demain matin.	The training session starts at 9 AM tomorrow morning.
fric	cash	J'ai besoin de plus de fric pour acheter cette voiture.	I need more cash to buy this car.
surnom	nickname	"Son surnom au lycée était ""Le Génie"" à cause de ses excellentes notes en mathématiques."	"His nickname in high school was ""The Genius"" because of his excellent grades in mathematics."
géographie	geography	La géographie de la France est très variée, avec des montagnes, des plaines et des côtes.	The geography of France is very varied, with mountains, plains, and coasts.
pair	peer	Elle a demandé l'avis de ses pairs avant de prendre une décision importante.	She sought the advice of her peers before making an important decision.
pisse	piss	Il est allé derrière l'arbre pour faire une pisse rapide.	He went behind the tree to take a quick piss.
vigoureux	vigorous	Le jardinier a fait un effort vigoureux pour arracher les mauvaises herbes.	The gardener made a vigorous effort to pull out the weeds.
canyon	canyon	Le Grand Canyon est l'un des sites touristiques les plus célèbres des États-Unis.	The Grand Canyon is one of the most famous tourist attractions in the United States.
éraflure	scratch	J'ai une petite éraflure sur le bras après être tombé de mon vélo.	I have a small scratch on my arm after falling off my bike.
privilège	privilege	Avoir accès à une éducation de qualité est un privilège que tout le monde ne peut pas se permettre.	Having access to quality education is a privilege that not everyone can afford.
rade	harbor	Le bateau est entré dans la rade pour éviter la tempête.	The ship entered the harbor to avoid the storm.
voyou	thug	Le voyou a été arrêté par la police après avoir volé une voiture.	The thug was arrested by the police after stealing a car.
exaucer	grant	Elle a prié pour que ses souhaits soient exaucés.	She prayed for her wishes to be granted.
draguer	flirt	Il aime draguer les filles au café du coin.	He likes to flirt with the girls at the local café.
avaler	swallow	Il a dû avaler un comprimé pour calmer son mal de tête.	He had to swallow a pill to ease his headache.
grippe	flu	J'ai attrapé la grippe et je dois rester au lit pendant quelques jours.	I caught the flu and need to stay in bed for a few days.
saucisson	sausage	J'ai acheté du saucisson au marché pour notre pique-nique.	I bought some sausage at the market for our picnic.
progéniture	offspring	Les parents sont très fiers de leur progéniture.	The parents are very proud of their offspring.
meuble	furniture	Nous avons acheté de nouveaux meubles pour le salon.	We bought new furniture for the living room.
sirop	syrup	J'aime mettre du sirop d'érable sur mes crêpes le matin.	I love putting maple syrup on my pancakes in the morning.
fortune	fortune	Il a fait fortune en investissant dans l'immobilier.	He made a fortune by investing in real estate.
bus	bus	J'attends le bus à l'arrêt depuis dix minutes.	I have been waiting for the bus at the stop for ten minutes.
collaboration	collaboration	La collaboration entre les deux entreprises a conduit à un produit innovant.	The collaboration between the two companies led to an innovative product.
trotter	trot	Le cheval a commencé à trotter autour du champ.	The horse started to trot around the field.
expansion	expansion	L'expansion de l'entreprise a permis de créer de nombreux emplois dans la région.	The expansion of the company has created many jobs in the region.
échange	exchange	Nous avons fait un échange de cadeaux lors de la fête de Noël.	We did a gift exchange during the Christmas party.
bêtement	stupidly	Il a bêtement oublié ses clés à la maison.	He stupidly forgot his keys at home.
crevé	exhausted	Après une longue journée de travail, je suis complètement crevé.	After a long day at work, I am completely exhausted.
obligatoire	mandatory	Le port du casque est obligatoire pour tous les cyclistes.	Wearing a helmet is mandatory for all cyclists.
symptôme	symptom	Les maux de tête sont un symptôme courant de la grippe.	Headaches are a common symptom of the flu.
restriction	restriction	En raison de la pandémie, le gouvernement a imposé des restrictions de voyage.	Due to the pandemic, the government imposed travel restrictions.
flocon	flake	Un flocon de neige est tombé doucement sur le sol.	A snowflake gently fell to the ground.
épeler	spell	Peux-tu épeler ton nom, s'il te plaît ?	Can you spell your name, please?
figurine	figurine	Elle a acheté une belle figurine en porcelaine pour sa collection.	She bought a beautiful porcelain figurine for her collection.
media	media	Les médias jouent un rôle crucial dans la diffusion de l'information.	The media play a crucial role in the dissemination of information.
justement	precisely	C'est justement ce que je voulais dire.	That's precisely what I wanted to say.
stimulant	stimulant	Le café est un stimulant populaire pour commencer la journée.	Coffee is a popular stimulant to start the day.
tomber	fall	Il a glissé sur une peau de banane et est tombé par terre.	He slipped on a banana peel and fell to the ground.
cauchemar	nightmare	J'ai fait un cauchemar terrible la nuit dernière, et je me suis réveillé en sueur.	I had a terrible nightmare last night, and I woke up in a sweat.
chiche	dare	Tu veux parier sur le résultat du match ? Chiche !	Do you dare to bet on the outcome of the game? Dare!
on	we	On va au cinéma ce soir.	We are going to the cinema tonight.
rafer	grab	Il a dû rafer son sac avant de courir pour attraper le bus.	He had to grab his bag before running to catch the bus.
zombie	zombie	Le film d'horreur mettait en scène un groupe de zombies attaquant une petite ville.	The horror movie featured a group of zombies attacking a small town.
frisson	shiver	Elle a ressenti un frisson en entendant le bruit étrange dans la maison.	She felt a shiver when she heard the strange noise in the house.
prolonger	extend	Nous devons prolonger notre séjour à Paris de deux jours.	We need to extend our stay in Paris by two days.
patient	patient	Le médecin a demandé au patient d'attendre dans la salle d'attente.	The doctor asked the patient to wait in the waiting room.
assommer	knock	Le boxeur a réussi à assommer son adversaire avec un coup puissant.	The boxer managed to knock out his opponent with a powerful punch.
hamac	hammock	J'adore lire un livre en me balançant doucement dans mon hamac.	I love reading a book while gently swaying in my hammock.
ver	worm	Le ver de terre est essentiel pour la santé du sol.	The earthworm is essential for soil health.
